TIME,LAT,LONG,ALT,DIST
2007-05-21T06:00:00Z,-30.099241,-50.436603,16,0
2007-05-21T06:05:25Z,-30.092063,-50.44098,10.26,0.9035089
2007-05-21T06:09:04Z,-30.08661,-50.44109,8.712,1.51062
2007-05-21T06:14:13Z,-30.079176,-50.443516,8.009,2.370567
2007-05-21T06:19:09Z,-30.071815,-50.444053,7.401,3.191685
2007-05-21T06:23:52Z,-30.064811,-50.44512,6.855,3.978108
2007-05-21T06:30:50Z,-30.05438,-50.444977,6.264,5.139355
2007-05-21T06:36:00Z,-30.046678,-50.444021,7.012,6.001655
2007-05-21T06:41:00Z,-30.039456,-50.446284,7.353,6.834677
2007-05-21T06:47:04Z,-30.030373,-50.446473,7.128,7.845968
2007-05-21T06:51:55Z,-30.023107,-50.446624,7.051,8.654953
2007-05-21T06:57:45Z,-30.014412,-50.447102,7.631,9.624024
2007-05-21T07:03:07Z,-30.006401,-50.446112,7.788,10.52096
2007-05-21T07:08:07Z,-29.999055,-50.447715,7.008,11.35325
2007-05-21T07:13:52Z,-29.990549,-50.446186,8.38,12.31151
2007-05-21T07:19:39Z,-29.981877,-50.446185,8.107,13.27687
2007-05-21T07:24:55Z,-29.974334,-50.448828,7.85,14.15441
2007-05-21T07:30:00Z,-29.966799,-50.447794,7.841,14.99912
2007-05-21T07:37:16Z,-29.955903,-50.448024,9.455,16.21228
2007-05-21T07:42:17Z,-29.948412,-50.448349,8.15,17.04684
2007-05-21T07:47:38Z,-29.940398,-50.448925,10.138,17.94071
2007-05-21T07:52:24Z,-29.933285,-50.449559,11.444,18.73492
2007-05-21T08:01:17Z,-29.920011,-50.450329,25.324,20.21449
2007-05-21T08:07:21Z,-29.910941,-50.449841,18.15,21.22529
2007-05-21T08:12:29Z,-29.903248,-50.449935,15.838,22.0817
2007-05-21T08:16:03Z,-29.897929,-50.450162,12.805,22.67425
2007-05-21T08:21:19Z,-29.890096,-50.451307,12.331,23.5532
2007-05-21T08:26:49Z,-29.881865,-50.450847,13.004,24.47058
2007-05-21T08:33:21Z,-29.872108,-50.45133,21,25.55781
2007-05-21T08:40:08Z,-29.862025,-50.452711,130.661,26.68822
2007-05-21T08:45:11Z,-29.854468,-50.453161,229.888,27.53058
2007-05-21T08:48:45Z,-29.849124,-50.453342,238.592,28.12578
2007-05-21T08:52:51Z,-29.843018,-50.454119,190.053,28.80967
2007-05-21T08:56:48Z,-29.837145,-50.454789,256.636,29.46661
2007-05-21T09:02:00Z,-29.829363,-50.45503,184.732,30.33324
2007-05-21T09:07:35Z,-29.820991,-50.454741,132.234,31.26571
2007-05-21T09:13:17Z,-29.812461,-50.455041,108.708,32.21577
2007-05-21T09:19:19Z,-29.803444,-50.455383,134.041,33.22017
2007-05-21T09:24:10Z,-29.796192,-50.455564,127.408,34.02767
2007-05-21T09:29:35Z,-29.789004,-50.459911,63.011,34.93134
2007-05-21T09:35:39Z,-29.783712,-50.468429,33.455,35.94347
2007-05-21T09:41:44Z,-29.778419,-50.476946,30.836,36.95569
2007-05-21T09:47:48Z,-29.773124,-50.485463,28.861,37.96803
2007-05-21T09:52:11Z,-29.769607,-50.491842,27.629,38.69831
2007-05-21T09:57:36Z,-29.762406,-50.496148,28.07,39.6016
2007-05-21T10:02:45Z,-29.757054,-50.502511,47.607,40.4578
2007-05-21T10:08:48Z,-29.75174,-50.510969,65.179,41.4669
